cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI,replica_corr
2001,15,zinq,A0,none,4.2,0,12,0.16666666666666666,1.0,1.0,0.12222222222222222,
2001,15,zinq,A2,Wdet,,0,13,0.23076923076923078,1.0,1.0,,
2001,15,zinq,A2,Winfo,,0,16,0.375,1.0,1.0,,
2001,15,locom,A1n,none,50.9,62,7,0.0,0.7,0.7,0.03333333333333333,
2001,15,locom,A2,Wdet,,62,7,0.0,0.7,0.7,,
2001,15,locom,A2,Winfo,,62,7,0.0,0.7,0.7,,
2001,16,twochannel,A1,none,64.1,0,10,0.0,1.0,1.0,0.07777777777777778,
2001,16,twochannel,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,16,twochannel,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,16,wilcoxon,A0,none,0.0,0,10,0.0,1.0,1.0,0.06666666666666667,
2001,16,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,16,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,16,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,16,linda,A0,none,4.8,0,10,0.0,1.0,1.0,0.05555555555555555,0.995667295979178
2001,16,linda,A1,none,,0,15,0.3333333333333333,1.0,1.0,0.08888888888888889,
2001,16,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,16,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,16,zinq,A0,none,7.3,2,10,0.0,1.0,1.0,0.045454545454545456,
2001,16,zinq,A2,Wdet,,2,10,0.0,1.0,1.0,,
2001,16,zinq,A2,Winfo,,2,10,0.0,1.0,1.0,,
2001,16,locom,A1n,none,37.8,62,7,0.0,0.7,0.7,0.10714285714285714,
2001,16,locom,A2,Wdet,,62,7,0.0,0.7,0.7,,
2001,16,locom,A2,Winfo,,62,6,0.0,0.6,0.6,,
2001,17,twochannel,A1,none,50.0,0,11,0.09090909090909091,1.0,1.0,0.011111111111111112,
2001,17,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,17,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,17,wilcoxon,A0,none,0.1,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,17,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.03333333333333333,
2001,17,wilcoxon,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,17,wilcoxon,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,17,linda,A0,none,3.4,0,10,0.0,1.0,1.0,0.022222222222222223,0.9992933448954255
2001,17,linda,A1,none,,0,10,0.0,1.0,1.0,0.044444444444444446,
2001,17,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,17,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,17,zinq,A0,none,4.8,3,10,0.0,1.0,1.0,0.04597701149425287,
2001,17,zinq,A2,Wdet,,3,10,0.0,1.0,1.0,,
2001,17,zinq,A2,Winfo,,3,11,0.09090909090909091,1.0,1.0,,
2001,17,locom,A1n,none,45.9,63,5,0.0,0.5,0.5,0.1111111111111111,
2001,17,locom,A2,Wdet,,63,5,0.0,0.5,0.5,,
2001,17,locom,A2,Winfo,,63,4,0.0,0.4,0.4,,
2001,18,twochannel,A1,none,51.8,0,11,0.09090909090909091,1.0,1.0,0.044444444444444446,
2001,18,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,18,twochannel,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,18,wilcoxon,A0,none,0.0,0,10,0.0,1.0,1.0,0.0,
2001,18,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.0,
2001,18,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,18,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,18,linda,A0,none,2.4,0,10,0.0,1.0,1.0,0.011111111111111112,0.9980224813532832
2001,18,linda,A1,none,,0,10,0.0,1.0,1.0,0.022222222222222223,
