cell,rep,n,phi_hat,smoke_seen,det_tested,int_tested,nrej_acat,fdp_acat,tpr_acat,tprA_acat,tprP_acat,nrej_chisq,fdp_chisq,tpr_chisq,tprA_chisq,tprP_chisq,nrej_det,fdp_det,tpr_det,nrej_int,fdp_int,tpr_int,typeI_null,secs
1006,6,200,100000.0,False,100,100,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.022222222222222223,11.9
1006,7,200,100000.0,False,100,100,0,0.0,0.0,0.0,,2,0.0,0.2,0.2,,0,0.0,0.0,0,0.0,0.0,0.07777777777777778,11.7
1006,8,200,100000.0,False,100,99,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,2,0.0,0.2,0.07777777777777778,11.7
1006,9,200,100000.0,False,100,100,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.03333333333333333,11.1
1006,10,200,100000.0,False,100,100,4,0.25,0.3,0.3,,8,0.25,0.6,0.6,,6,0.16666666666666666,0.5,0,0.0,0.0,0.05555555555555555,11.5
1006,11,200,100000.0,False,100,100,0,0.0,0.0,0.0,,2,0.0,0.2,0.2,,0,0.0,0.0,2,0.0,0.2,0.07777777777777778,11.4
1006,12,200,100000.0,False,100,99,0,0.0,0.0,0.0,,4,0.25,0.3,0.3,,0,0.0,0.0,0,0.0,0.0,0.07777777777777778,11.8
1006,13,200,100000.0,False,100,100,0,0.0,0.0,0.0,,4,0.25,0.3,0.3,,0,0.0,0.0,2,0.0,0.2,0.06666666666666667,11.7
1006,14,200,100000.0,False,100,99,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.08888888888888889,11.9
1006,15,200,100000.0,False,100,100,2,0.0,0.2,0.2,,2,0.0,0.2,0.2,,0,0.0,0.0,2,0.0,0.2,0.05555555555555555,11.7
1006,16,200,100000.0,False,100,99,0,0.0,0.0,0.0,,4,0.25,0.3,0.3,,4,0.25,0.3,0,0.0,0.0,0.08888888888888889,12.1
1006,17,200,100000.0,False,100,99,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,2,0.0,0.2,0.1,12.4
1006,18,200,100000.0,False,100,100,0,0.0,0.0,0.0,,2,0.0,0.2,0.2,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.3
1006,19,200,100000.0,False,100,100,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.3
1007,0,200,100000.0,False,100,98,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,2,0.0,0.2,0.05555555555555555,11.4
1007,1,200,100000.0,False,99,95,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.03333333333333333,11.7
1007,2,200,100000.0,False,99,94,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.5
1007,3,200,100000.0,False,100,93,0,0.0,0.0,0.0,,4,0.5,0.2,0.2,,0,0.0,0.0,2,0.0,0.2,0.06666666666666667,11.6
1007,4,200,100000.0,False,100,97,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.5
1007,5,200,100000.0,False,99,96,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.6
1007,6,200,100000.0,False,100,96,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.1,11.4
1007,7,200,100000.0,False,99,97,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.3
1007,8,200,100000.0,False,100,91,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,10.9
1007,9,200,100000.0,False,99,93,0,0.0,0.0,0.0,,2,0.5,0.1,0.1,,0,0.0,0.0,0,0.0,0.0,0.08888888888888889,11.3
1007,10,200,100000.0,False,99,94,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,10.5
1007,11,200,100000.0,False,98,93,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.07777777777777778,10.3
1007,12,200,100000.0,False,98,96,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.0
1007,13,200,100000.0,False,99,92,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.1
1007,14,200,100000.0,False,99,98,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,2,1.0,0.0,0,0.0,0.0,0.05555555555555555,11.5
1007,15,200,100000.0,False,99,97,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.022222222222222223,11.5
1007,16,200,100000.0,False,100,97,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.03333333333333333,11.0
1007,17,200,100000.0,False,99,93,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.1
1007,18,200,100000.0,False,99,96,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.0
1007,19,200,100000.0,False,100,98,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,11.7
1008,0,100,100000.0,True,82,51,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,10.3
1008,1,100,100000.0,True,82,50,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.08888888888888889,10.2
1008,2,100,100000.0,True,77,52,0,0.0,0.0,0.0,,2,0.5,0.1,0.1,,2,0.5,0.1,0,0.0,0.0,0.03333333333333333,9.4
1008,3,100,100000.0,True,89,57,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.05555555555555555,11.1
1008,4,100,100000.0,True,86,55,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.011111111111111112,11.5
1008,5,100,100000.0,False,90,58,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,12.0
1008,6,100,100000.0,False,83,56,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,10.9
1008,7,100,100000.0,False,77,53,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.03333333333333333,9.4
1008,8,100,100000.0,False,83,55,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.022222222222222223,11.2
1008,9,100,100000.0,False,83,58,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,10.5
1008,10,100,100000.0,False,86,59,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.7
1008,11,100,100000.0,False,84,57,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,10.7
1008,12,100,100000.0,False,79,43,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,10.8
1008,13,100,100000.0,False,87,56,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.08888888888888889,11.2
1008,14,100,100000.0,False,88,52,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,2,0.0,0.2,0.011111111111111112,10.9
1008,15,100,100000.0,False,78,54,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.0
1008,16,100,100000.0,False,86,62,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.03333333333333333,10.4
1008,17,100,100000.0,False,81,50,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,2,0.0,0.2,0.022222222222222223,10.5
1008,18,100,100000.0,False,87,51,2,0.5,0.1,0.1,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.044444444444444446,11.0
1008,19,100,100000.0,False,85,64,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0,0.0,0.0,0.06666666666666667,10.8
1009,0,600,100000.0,True,100,70,38,0.0,0.95,0.8,1.0,40,0.025,0.975,0.9,1.0,30,0.0,1.0,9,0.0,0.9,0.06666666666666667,11.2
1009,1,600,100000.0,True,100,69,40,0.0,1.0,1.0,1.0,40,0.0,1.0,1.0,1.0,30,0.0,1.0,10,0.0,1.0,0.0,11.8
1009,2,600,100000.0,True,100,70,40,0.0,1.0,1.0,1.0,40,0.0,1.0,1.0,1.0,30,0.0,1.0,10,0.0,1.0,0.03333333333333333,12.0
1009,3,600,100000.0,True,100,70,43,0.09302325581395349,0.975,0.9,1.0,42,0.047619047619047616,1.0,1.0,1.0,32,0.0625,1.0,10,0.0,1.0,0.1,11.5
1009,4,600,100000.0,True,100,70,42,0.047619047619047616,1.0,1.0,1.0,43,0.06976744186046512,1.0,1.0,1.0,33,0.09090909090909091,1.0,10,0.0,1.0,0.06666666666666667,12.0
1009,5,600,100000.0,False,100,69,39,0.0,0.975,1.0,0.9666666666666667,39,0.0,0.975,1.0,0.9666666666666667,29,0.0,0.9666666666666667,10,0.0,1.0,0.016666666666666666,12.3
1009,6,600,100000.0,False,100,70,41,0.04878048780487805,0.975,1.0,0.9666666666666667,40,0.025,0.975,1.0,0.9666666666666667,30,0.03333333333333333,0.9666666666666667,10,0.0,1.0,0.03333333333333333,12.7
1009,7,600,100000.0,False,100,70,44,0.09090909090909091,1.0,1.0,1.0,43,0.06976744186046512,1.0,1.0,1.0,33,0.09090909090909091,1.0,11,0.09090909090909091,1.0,0.1,11.9
1009,8,600,100000.0,False,100,70,43,0.06976744186046512,1.0,1.0,1.0,43,0.06976744186046512,1.0,1.0,1.0,33,0.09090909090909091,1.0,10,0.0,1.0,0.06666666666666667,11.4
1009,9,600,100000.0,False,99,69,39,0.02564102564102564,0.95,0.8,1.0,39,0.02564102564102564,0.95,0.8,1.0,30,0.0,1.0,9,0.1111111111111111,0.8,0.03333333333333333,11.6
1009,10,600,100000.0,False,100,70,39,0.0,0.975,1.0,0.9666666666666667,39,0.0,0.975,1.0,0.9666666666666667,29,0.0,0.9666666666666667,10,0.0,1.0,0.016666666666666666,12.3
1009,11,600,100000.0,False,100,69,39,0.0,0.975,1.0,0.9666666666666667,38,0.0,0.95,0.9,0.9666666666666667,32,0.09375,0.9666666666666667,9,0.0,0.9,0.03333333333333333,12.5
1009,12,600,100000.0,False,100,70,41,0.024390243902439025,1.0,1.0,1.0,41,0.024390243902439025,1.0,1.0,1.0,31,0.03225806451612903,1.0,10,0.0,1.0,0.016666666666666666,12.0
1009,13,600,100000.0,False,100,69,42,0.07142857142857142,0.975,0.9,1.0,41,0.04878048780487805,0.975,0.9,1.0,31,0.03225806451612903,1.0,10,0.1,0.9,0.1,12.0
1009,14,600,100000.0,False,100,70,42,0.047619047619047616,1.0,1.0,1.0,42,0.047619047619047616,1.0,1.0,1.0,32,0.0625,1.0,11,0.09090909090909091,1.0,0.1,12.4
1009,15,600,100000.0,False,100,70,41,0.024390243902439025,1.0,1.0,1.0,42,0.047619047619047616,1.0,1.0,1.0,32,0.0625,1.0,10,0.0,1.0,0.1,13.7
1009,16,600,100000.0,False,99,70,44,0.11363636363636363,0.975,1.0,0.9666666666666667,43,0.09302325581395349,0.975,1.0,0.9666666666666667,30,0.03333333333333333,0.9666666666666667,14,0.2857142857142857,1.0,0.1,11.7
